Pop	mu	mu_lb	mu_ub	sigma	sigma_lb	sigma_ub	misid	misid_lb	misid_ub
PPA	1.1797803689494368	-0.28831062	2.64787135	5.097948203256195	2.45749626	7.73840015	0.06444488483803414	0.05215323	0.07673654
PTE	1.486838143471953	-0.24386928	3.21754557	3.812102734462378	2.05495384	5.56925163	0.07992170977268152	0.06298633	0.09685709
PTS	1.4214371906267844	-1.42662779	4.26950217	5.98040687809154	3.80603019	8.15478357	0.046102243362450855	0.03887792	0.05332657
PTT	2.695729633771649	-1.63755931	7.02901857	6.796968989794826	4.11538097	9.47855701	0.05755052415547695	0.05075051	0.06435054
PTV	1.7243741222705529	0.3269077	3.12184054	5.914371876886509	3.17188483	8.65685893	0.06800976404985994	0.05125094	0.08476859
GBB	2.7830368256973905	-0.75333009	6.31940374	7.150464904213231	-2.66489179	16.9658216	0.11132892619953988	0.01830332	0.20435453
GBG	3.3615355402505274	-1.20684149	7.92991257	9.574270148149594	-5.42274054	24.57128084	0.23930129107042236	0.17916589	0.29943669
GGG	1.953272042072984	0.77728847	3.12925561	5.2180314990036	4.132093	6.30397	0.056138827896512415	0.04888315	0.0633945
PA	3.420167061145746	-4.12154047	10.96187459	10.360417511410423	4.51046647	16.21036855	0.056627791858453486	0.04635174	0.06690385
PP	2.4349010234026642	0.34833796	4.52146408	4.700259233038304	3.25915433	6.14136413	0.04751506555258959	0.03276194	0.06226819
